"AOU_Code"	"Response_Guild"	"Int_Element"
"117"	"DEJU"	"ForestGeneralist"	"Structural"
"118"	"DEJU"	"Omnivore"	"Functional"
"119"	"DOWO"	"BarkProber"	"Functional"
"120"	"DOWO"	"Resident"	"Compositional"
"121"	"DOWO"	"SingleBrooded"	"Compositional"
"122"	"DOWO"	"ForestGeneralist"	"Structural"
"123"	"EABL"	"Resident"	"Compositional"
"124"	"EABL"	"Omnivore"	"Functional"
"125"	"EAKI"	"CanopyNester"	"Structural"
"126"	"EAKI"	"SingleBrooded"	"Compositional"
"127"	"EAME"	"TemperateMigrant"	"Compositional"
"128"	"EAME"	"OpenGroundNester"	"Structural"
"129"	"EAME"	"Omnivore"	"Functional"
"130"	"EAPH"	"TemperateMigrant"	"Compositional"
"131"	"EAPH"	"ForestGeneralist"	"Structural"
"132"	"EATO"	"TemperateMigrant"	"Compositional"
"133"	"EATO"	"ForestGroundNester"	"Structural"
"134"	"EATO"	"ForestGeneralist"	"Structural"
"135"	"EATO"	"Omnivore"	"Functional"
"136"	"EAWP"	"CanopyNester"	"Structural"
"137"	"EAWP"	"SingleBrooded"	"Compositional"
"138"	"EAWP"	"ForestGeneralist"	"Structural"
"139"	"EUST"	"Resident"	"Compositional"
"140"	"EUST"	"Exotic"	"Compositional"
"141"	"EUST"	"NestPredator_BroodParasite"	"Compositional"
"142"	"EUST"	"Omnivore"	"Functional"
"143"	"FICR"	"Resident"	"Compositional"
"144"	"FICR"	"CanopyNester"	"Structural"
"145"	"FICR"	"SingleBrooded"	"Compositional"
"146"	"FICR"	"NestPredator_BroodParasite"	"Compositional"
"147"	"FICR"	"Omnivore"	"Functional"
"148"	"FISP"	"TemperateMigrant"	"Compositional"
"149"	"FISP"	"OpenGroundNester"	"Structural"
"150"	"FISP"	"Omnivore"	"Functional"
"151"	"GCFL"	"SingleBrooded"	"Compositional"
"152"	"GCFL"	"ForestGeneralist"	"Structural"
"153"	"GCKI"	"LowerCanopyForager"	"Functional"
"154"	"GCKI"	"TemperateMigrant"	"Compositional"
"155"	"GCKI"	"CanopyNester"	"Structural"
"156"	"GCKI"	"InteriorForestObligate"	"Structural"
